camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ5974,1.0553707952073708,0.41925088863633875,0.72,0.20967741935483872,0.53426903907633,3.415451023425763e-4,0.0023547618918673,unchange
CAMPSQ5975,5.6729922774762835,4.090396620286714,1,0.8548387096774194,0.3905557654081336,0.00737683855189191,0.02429953370199557,unchange
CAMPSQ5976,0.2761649923724365,0.18564103500036047,0.24,0.08064516129032258,0.10614757856016552,0.07662278213605776,0.15176889395257695,unchange
CAMPSQ5977,9.351168311064518,7.460978112693371,1,0.9838709677419356,0.29089725270377775,0.0055768033263032,0.01984055029550179,unchange
CAMPSQ5978,0.9872000838904628,0.35749822372177026,0.64,0.14516129032258066,0.549786829301872,8.372700937433389e-5,8.209980601193517e-4,unchange
CAMPSQ5979,2.8004618730686768,2.2407216683940345,0.92,0.6451612903225806,0.229859641932477,0.12346034047982694,0.207208878228683,unchange
CAMPSQ5980,1.9007636968050057,1.574218924037887,0.88,0.6451612903225806,0.17229802236511826,0.2646795554185428,0.3815510474215357,unchange
CAMPSQ5981,34.68995693208484,76.12010112818204,0.96,0.935483870967742,-1.1115887829324655,1.4251238405964375e-4,0.00123199958182402,down
CAMPSQ5982,1.1879838734909425,0.968205113514088,0.72,0.4032258064516129,0.1527215280131849,0.1290503570552028,0.21392756321875017,unchange
CAMPSQ5983,2.398803368514859,2.8928491724258008,1,0.7580645161290323,-0.19579954903045976,0.4434398936654671,0.5668643217792928,unchange
CAMPSQ5984,0.939670674448738,1.0810636610238733,0.64,0.41935483870967744,-0.10150937238811072,0.7888775934853817,0.8544683423114868,unchange
CAMPSQ5985,5.077882584926223,7.03588641794691,1,0.967741935483871,-0.40288836811056006,2.075531905134756e-4,0.00165743914726588,unchange
CAMPSQ5986,2.2834548057435615,1.2678653585905273,0.96,0.5161290322580645,0.5338796066418148,6.215038461282039e-4,0.00379466044665735,unchange
CAMPSQ5987,3.4759309962234117,5.367833531628265,1,0.935483870967742,-0.5086148263461944,5.102954469150393e-4,0.00322567167469073,unchange
CAMPSQ5988,5.261179455572397,5.075413633602078,1,0.967741935483871,0.04345181643715015,0.5514383960699614,0.6525550315966494,unchange
CAMPSQ5989,5.251617629218091,4.9761614279463835,1,0.8870967741935484,0.06501042206399152,0.4963821369964657,0.6168614092408424,unchange
CAMPSQ599,0.19877286143683964,0.02663754295303801,0.24,0.01612903225806451,0.22363140438660545,7.237718792142613e-4,0.00426879269887263,unchange
CAMPSQ5990,8.041173343398544,9.249863720948802,1,1,-0.1810228085646308,0.21199674006319516,0.31713798041798735,unchange
CAMPSQ5991,2.0579286052252797,0.4243669523005657,0.92,0.1774193548387097,1.102233855609999,1.1836574653073594e-9,2.8562169271547156e-7,up
CAMPSQ5992,5.304713034942839,4.320447221093053,1,0.9032258064516128,0.24488318688887104,0.06391516255367895,0.13150265527888066,unchange
CAMPSQ5993,7.597206151169424,6.60618518575009,1,0.9516129032258064,0.1766948365898659,0.09593000317906568,0.181524554259739,unchange
CAMPSQ5994,3.811322235739991,2.835960763876233,1,0.7258064516129032,0.3268454625610271,0.0337527335546475,0.07944345683981918,unchange
CAMPSQ5995,4.441076032991843,4.9869968906385935,1,0.9516129032258064,-0.13794053237492554,0.6763866143226014,0.7579135290713583,unchange
CAMPSQ5996,2.3076705195712113,1.45765425951253,0.84,0.532258064516129,0.4285335603389938,0.00857344501743269,0.02769651911918011,unchange
CAMPSQ5998,0.04398020890599231,0.1155010781495772,0.04,0.04838709677419355,-0.09559754547247484,0.8462970111887784,0.901871814918917,unchange
CAMPSQ5999,0.9458686854195874,0.5432365035455586,0.64,0.2258064516129032,0.33445518063246005,0.00454415508060802,0.0167575154135379,unchange
CAMPSQ60,0.40176860003044573,0.05921593555282657,0.4,0.03225806451612903,0.40425148072357986,1.7476536628466747e-5,2.635727670869306e-4,unchange
CAMPSQ600,0.0293728888236158,1.0258459442822545,0.04,0.43548387096774194,-0.9767587772970628,3.0324433036238175e-4,0.00221739925363796,unchange
CAMPSQ6002,1.9789735448972123,2.170533337178593,0.84,0.7419354838709677,-0.08991023478385089,0.6539693163545022,0.7396824249142179,unchange
CAMPSQ6004,1.2066349322122625,1.8259222684251244,0.88,0.6935483870967742,-0.3568738140352382,0.02626936900951299,0.06472509543351716,unchange
CAMPSQ6007,0.5507890459934108,0.7516056616930018,0.6,0.3870967741935484,-0.1756755683621102,0.8814782989975932,0.9239290952665992,unchange
CAMPSQ6008,1.3874654294862752,3.0395466557879662,0.88,0.8387096774193549,-0.7587135503693574,8.27236389904596e-6,1.4668249086167756e-4,unchange
CAMPSQ6010,0.1009330965474259,0,0.12,0,0.13872679931828963,0.0060588713424739,0.02050410728703057,unchange
CAMPSQ6011,0.03395297512944572,0,0.04,0,0.04817057241272571,0.12128522155214529,0.20478642519452575,unchange
CAMPSQ6012,0.1380673160944637,0,0.16,0,0.18658589483553165,0.00141298166955616,0.00690929362646405,unchange
CAMPSQ6013,0.39228703946504023,0.06099527291132604,0.32,0.03225806451612903,0.3920384450527196,2.45834857643794e-4,0.00187673103153102,unchange
CAMPSQ6015,0.3512672027461855,0.05303350498361707,0.4,0.03225806451612903,0.3597616446080508,1.7476536628466747e-5,2.635727670869306e-4,unchange
CAMPSQ6018,0.2455923793540923,0.03111310234966148,0.24,0.01612903225806451,0.27262943303889153,7.237718792142613e-4,0.00426879269887263,unchange
CAMPSQ6019,0.06415396952686447,0.05050204616854629,0.04,0.03225806451612903,0.01862793344451953,0.8703679439847563,0.9174018876029764,unchange
CAMPSQ602,0.0293728888236158,0.09633121167871164,0.04,0.04838709677419355,-0.09091802442445576,0.8462970111887784,0.901871814918917,unchange
CAMPSQ6023,0.25585473077041704,0.4083617835765568,0.28,0.1935483870967742,-0.16534839261456605,0.7505623812503759,0.8237336792445296,unchange
CAMPSQ6024,0.0513017827369501,0.06078440609450582,0.04,0.03225806451612903,-0.01295460922682115,0.8937821311492382,0.9287569421228744,unchange
CAMPSQ6025,0.43950991109584714,0.24049772514224205,0.24,0.0967741935483871,0.21465863238097296,0.09880304697845428,0.1859467313429709,unchange
CAMPSQ6026,4.673621959558499,3.4456263969398817,1,0.9193548387096774,0.35188331349798624,0.00289863115004731,0.01218742642633531,unchange
CAMPSQ6027,0.21388286496343067,0.4032422472521453,0.2,0.16129032258064516,-0.2091348748251634,0.9375278146803347,0.955782397405558,unchange
CAMPSQ6028,0.5687786506192656,0.33467099168295417,0.56,0.16129032258064516,0.23315765872736985,0.00387795785609869,0.01509107318540054,unchange
CAMPSQ6029,1.4993157289298986,2.270462232437084,0.96,0.7419354838709677,-0.38796139112388817,0.03619236372746529,0.08439815911236655,unchange
CAMPSQ6030,0.7569129946653859,1.123945725305051,0.48,0.5161290322580645,-0.2737041520103401,0.2604657163279896,0.37674869054478555,unchange
CAMPSQ6031,0.9879535406949592,1.231200731953432,0.6,0.43548387096774194,-0.16653627185209482,0.8914969168850523,0.9287569421228744,unchange
CAMPSQ6032,1.1650564541980637,0.3823204489839386,0.68,0.16129032258064516,0.647312544453803,3.900865937396725e-5,4.865124933157713e-4,unchange
CAMPSQ6033,0.8854174081094043,1.292340115381688,0.64,0.46774193548387094,-0.28193715948846404,0.64696606111434,0.7336864812391882,unchange
CAMPSQ6034,3.104547436703509,4.32135731530631,1,0.8548387096774194,-0.3745711193347433,0.2001869026666763,0.3026276663992212,unchange
CAMPSQ6035,1.0056347633026788,0.9399690834915096,0.76,0.3225806451612903,0.04802524652812737,0.06493737402920538,0.13317915993872992,unchange
CAMPSQ6036,4.554458817462896,4.037805440505773,1,0.9193548387096774,0.14085094724355698,0.13956345091770403,0.22690897640282337,unchange
CAMPSQ6037,2.3068060667444703,1.899531411935036,0.96,0.5967741935483871,0.18961867098734692,0.14058554750146238,0.22821295779850465,unchange
