clade_name,mean.all,mean.1,mean.2,pct.all,pct.1,pct.2,diff,log2fc,pval,p.adj,status
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_thermophilum,3.793103448275862e-5,1.32e-4,0,0.011494252873563218,0.04,0,1.32e-4,7.05528243550119,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis,2.597701149425287e-5,0,3.6451612903225805e-5,0.011494252873563218,0,0.016129032258064516,-3.6451612903225805e-5,-5.226955946478691,0.5421264077162994,0.5805607425917086,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia|s__Parascardovia_denticolens,0.002701034482758621,0.009399600000000001,0,0.10344827586206896,0.36,0,0.009399600000000001,13.198537125431047,7.72546769290281e-7,5.75898500743664e-6,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_inopinata,4.03448275862069e-5,1.404e-4,0,0.022988505747126436,0.08,0,1.404e-4,7.143638309922037,0.026286552271558142,0.048830035611243924,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,0.001758735632183908,0.0049692,4.6419354838709675e-4,0.14942528735632185,0.36,0.06451612903225806,0.004505006451612903,3.417400912947838,5.18936878099101e-4,0.0017730343335052618,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense,0.01057425287356322,0.036184,2.47741935483871e-4,0.16091954022988506,0.4,0.06451612903225806,0.03593625806451613,7.184598208896171,8.784004009885811e-5,3.627351296168673e-4,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum,5.302298850574712e-4,0.0018452,0,0.034482758620689655,0.12,0,0.0018452,10.850343134167339,0.0060588713424739,0.014311901854238761,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_kroppenstedtii,6.689655172413794e-5,2.328e-4,0,0.022988505747126436,0.08,0,2.328e-4,7.869131119644294,0.026286552271558142,0.048830035611243924,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_stationis,1.2264367816091954e-4,4.268e-4,0,0.011494252873563218,0.04,0,4.268e-4,8.740792672277681,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_urealyticum,1.2701149425287358e-4,4.42e-4,0,0.011494252873563218,0.04,0,4.42e-4,8.791162888555018,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile,3.3333333333333333e-6,1.16e-5,0,0.011494252873563218,0.04,0,1.16e-5,3.655351828612554,0.12128522155214527,0.16303915028321167,unchange
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriales_unclassified|g__Lawsonella|s__Lawsonella_clevelandensis,2.3655172413793103e-4,8.232000000000001e-4,0,0.011494252873563218,0.04,0,8.232000000000001e-4,9.686850653393137,0.12128522155214527,0.16303915028321167,unchange
